customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-0001,Male,0,No,Yes,57,No,Yes,Fiber optic,No,No,No internet service,No,No internet service,Yes,Month-to-month,Yes,Electronic check,45.44,2352.47,No
CUST-0002,Female,0,No,Yes,7,Yes,Yes,DSL,No internet service,No,No,No internet service,No,No,One year,No,Credit card (automatic),43.3,321.85,No
CUST-0003,Male,0,No,No,56,Yes,No,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No,One year,Yes,Bank transfer (automatic),115.56,6538.28,Yes
CUST-0004,Male,0,No,Yes,67,Yes,Yes,Fiber optic,Yes,Yes,Yes,No internet service,No internet service,No,One year,Yes,Mailed check,104.25,6728.76,No
CUST-0005,Male,0,Yes,Yes,16,Yes,No,No,No,Yes,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),98.98,1465.33,No
CUST-0006,Female,0,Yes,No,51,Yes,Yes,Fiber optic,Yes,No internet service,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,30.8,1565.79,Yes
CUST-0007,Male,1,No,No,12,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),93.52,1127.91,No
CUST-0008,Male,0,Yes,No,53,Yes,Yes,DSL,No,Yes,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Mailed check,39.45,2175.3,No
CUST-0009,Male,1,No,Yes,5,Yes,Yes,Fiber optic,No,No internet service,No internet service,Yes,No internet service,No,One year,No,Mailed check,115.74,633.09,No
CUST-0010,Female,0,Yes,No,27,No,No,Fiber optic,Yes,No internet service,No internet service,Yes,No internet service,Yes,Month-to-month,Yes,Mailed check,23.21,618.52,No
CUST-0011,Male,0,No,Yes,12,Yes,No,Fiber optic,No internet service,Yes,Yes,Yes,No,Yes,One year,No,Mailed check,53.21,626.52,Yes
CUST-0012,Male,0,No,Yes,17,Yes,No,DSL,Yes,No internet service,No,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,60.86,1007.71,No
CUST-0013,Male,1,Yes,No,6,Yes,No phone service,DSL,No internet service,No,No internet service,No internet service,No,Yes,Two year,Yes,Bank transfer (automatic),100.42,641.92,Yes
CUST-0014,Male,1,Yes,Yes,5,Yes,Yes,DSL,Yes,No internet service,No internet service,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),94.62,440.58,Yes
CUST-0015,Female,0,No,No,57,Yes,Yes,Fiber optic,No,No,Yes,Yes,No internet service,Yes,Month-to-month,No,Mailed check,55.5,3064.68,No
CUST-0016,Male,0,No,No,28,Yes,No,No,No internet service,No,No,No,Yes,No,Two year,No,Credit card (automatic),74.56,2181.61,Yes
CUST-0017,Female,0,Yes,No,69,Yes,No phone service,No,No,Yes,Yes,Yes,No,No internet service,Month-to-month,No,Credit card (automatic),101.56,6328.87,No
CUST-0018,Female,0,Yes,No,59,Yes,Yes,Fiber optic,No,No internet service,No internet service,Yes,Yes,No internet service,Two year,No,Bank transfer (automatic),19.82,1120.12,Yes
CUST-0019,Female,1,No,Yes,33,Yes,No,No,No,No,Yes,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),98.22,3332.95,No
CUST-0020,Male,0,Yes,No,62,Yes,Yes,No,No,No,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Credit card (automatic),112.69,6547.94,No
CUST-0021,Female,0,No,No,50,Yes,Yes,DSL,No,No internet service,No,Yes,Yes,Yes,One year,No,Electronic check,21.21,1018.65,No
CUST-0022,Male,0,No,No,19,Yes,No,Fiber optic,Yes,No,Yes,Yes,No internet service,Yes,Two year,No,Credit card (automatic),22.56,427.44,Yes
CUST-0023,Female,1,No,No,69,Yes,No,No,No internet service,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),52.45,3562.61,No
CUST-0024,Female,1,No,Yes,66,Yes,Yes,DSL,Yes,Yes,No internet service,No,No internet service,Yes,Two year,No,Credit card (automatic),26.78,1628.21,No
CUST-0025,Female,0,Yes,No,47,Yes,Yes,No,Yes,No,No internet service,No internet service,No internet service,Yes,One year,Yes,Bank transfer (automatic),65.93,3370.3,No
CUST-0026,Female,0,Yes,Yes,39,Yes,No,No,Yes,No,No internet service,No,Yes,No internet service,Two year,Yes,Mailed check,90.87,3220.93,No
CUST-0027,Female,0,Yes,No,68,Yes,Yes,Fiber optic,No,No internet service,Yes,No,No internet service,No,Month-to-month,No,Credit card (automatic),74.69,5332.6,Yes
CUST-0028,Female,0,Yes,No,33,No,Yes,No,Yes,No internet service,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Credit card (automatic),37.64,1135.65,No
